pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,323.21000000,1.178000,12.200,1.090,4914.89849,15.46400,Msini,14.900000,0.238000,,G8 III,4874.00,13.76,2.09,-0.260,[Fe/H],2.45,,185.1787793,17.7932516,93.1846000,4.7230700,2.2820000,4.4403800
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,0.080000,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],1.93,1.560,229.2745954,71.8239428,125.3210000,5.0130000,1.9390000,4.5621600
14 And b,14 And,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,186.76000000,0.775000,13.100,1.160,1131.15130,3.55900,Msini,2.760000,0.000000,,K0 III,4888.00,11.55,1.78,-0.210,[Fe/H],2.55,4.500,352.8241500,39.2358367,75.4392000,5.2313300,2.3310000,4.9178100
14 Her b,14 Her,1,2,Radial Velocity,2002,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1765.03890000,2.774000,12.600,1.120,2559.47216,8.05300,Mass,7.030000,0.373000,,K0 V,5338.00,0.93,0.91,0.405,[Fe/H],4.45,3.900,242.6021014,43.8163621,17.9323000,6.6193500,4.7140000,6.3830000
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,0.680000,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],4.36,7.400,295.4656422,50.5168243,21.1397000,6.2150000,4.6510000,6.0642800
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Ground,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,Msini,3.510000,0.060000,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],1.70,5.130,243.4620874,-11.8377905,124.9530000,5.2260600,2.0940000,4.7542900
18 Del b,18 Del,2,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,982.85000000,2.476000,12.500,1.120,2926.24614,9.20700,Msini,8.230000,0.024000,,G6 III,4980.00,8.80,2.10,-0.060,[Fe/H],2.87,1.100,314.6078375,10.8391378,76.2220000,5.5104800,3.3660000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,2.540000,,1700,K7 V,4060.00,1.31,0.85,,,4.00,0.005,242.3762343,-21.0831403,139.1350000,12.6180000,8.9160000,12.0572000
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,30.33000000,0.194000,13.900,1.240,280.64248,0.88300,Msini,0.574000,0.032000,,G3 IV,4816.00,12.19,1.05,-0.780,[Fe/H],2.28,6.920,217.1555242,49.8446488,95.9863000,5.5900000,3.1590000,5.3339000
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,0.090000,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,2.700,155.8684866,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400
